vehicleplatenumber,rapid_times,deceleration_times,fatigueDriving_times,idlePreheating_times,overlongIdle_times,coastingEngineoff_times,speeding_times,changeRoad_times,safeMiles_flag,speed_stabilization,lowVisibilitySpeeding_times,crossWind_time,highWind_time,adverseweatherSpeeding_times,average_speed,againstWind_time,diseconomicSpeed_rate,safescore,totalscore
AA00382,53,57,0,0,6,0,0,0,0,0.722656108,0,0,0,0,49.98442714,0,0.759176863,84.5,82.9
AA00388,101,116,0,6,6,0,0,0,0,0.709540597,0,0,0,0,58.25263737,0,0.588470576,79.95,79.85
AA00404,90,90,0,4,4,0,0,0,0,0.750301945,0,0,0,0,59.65903674,0,0.441111202,81.5,81.95
AA00408,162,162,0,7,18,0,0,0,0,0.796200293,0,0,0,0,41.12985031,0,0.883475198,79,76.1
AA00422,60,56,0,4,8,0,0,0,0,0.726617912,0,0,0,0,43.49765991,0,0.897603177,82.25,80.15
AA00430,62,66,0,3,7,0,0,0,0,0.747342729,0,0,0,0,66.31637466,0,0.494777628,82.1,82.5
AA00434,118,111,0,5,16,0,0,0,0,0.785255688,0,0,0,0,39.65457262,0,0.927222282,82.5,79.35
AA00439,201,204,1,4,18,0,0,0,0,0.754004738,0,0,0,0,47.67931932,0,0.841300985,70.3,67.8
AA00445,256,262,1,5,14,0,0,0,0,0.717754341,0,0,0,0,58.92321023,0,0.764057048,67.75,65.4
AA00455,135,138,0,0,13,0,0,0,0,0.755211597,0,0,0,0,47.02369584,0,0.772236958,78.7,75.7
AA00456,53,63,0,9,12,0,0,0,0,0.764598643,0,0,0,0,52.76300946,0,0.703147744,82.3,80.6
AA00460,125,135,0,8,6,0,0,0,0,0.820852476,0,0,0,0,39.60842069,0,0.986398683,79.3,71.5
AB00005,54,57,0,4,5,0,264,0,0,0.765963337,0,0,0,0,78.9993473,0,0.767875156,50.5,50
AB00006,594,633,5,16,19,0,0,0,0,0.824118509,0,0,0,0,37.1863178,0,0.999990295,56.5,53
AB00007,567,577,1,12,63,0,1,0,0,0.766710503,0,0,0,0,58.01200475,0,0.75036395,59.4,56.5
AB00008,361,394,2,8,25,0,0,0,0,0.804720777,0,0,0,0,43.88968274,0,0.999422002,60.5,55.15
AB00010,160,161,1,1,8,0,0,0,0,0.802208736,0,0,0,0,50.10255531,0,0.903385506,74,70.6
AB00011,582,678,4,8,33,0,0,0,0,0.800017367,0,0,0,0,41.52240736,0,0.99992962,54,49.75
AB00012,166,184,3,2,22,0,87,0,0,0.803548359,0,0,0,9178,83.68231614,0,0.7956389,48,46.5
AB00191,106,116,1,3,14,0,0,0,0,0.77358184,0,0,0,0,51.28388469,0,0.953221579,75,72.05
AB00198,145,153,0,3,15,0,0,0,0,0.783400926,0,0,0,0,42.02112887,0,0.994955045,78.45,75.05
AB00200,43,49,0,0,3,0,0,0,0,0.77297282,0,0,0,0,46.5997501,0,1,86.5,77.5
AB00201,16,17,0,1,9,0,2,0,0,0.779269092,0,0,0,0,61.09562303,0,0.898264984,85.65,82
AB00206,212,226,0,5,12,0,0,0,0,0.777179571,0,0,0,0,41.15856648,0,0.999704167,75,71
AB00210,440,493,0,23,50,0,0,0,0,0.811324531,0,0,0,0,43.90232697,0,0.998751623,65.25,61.5
AB00215,163,191,0,5,6,0,0,0,0,0.778124332,0,0,0,0,42.3291431,0,0.999664781,76.5,71.5
AB00230,162,181,2,0,10,0,0,0,0,0.822902794,0,0,0,0,47.90868444,0,0.997993694,71.5,68.15
AB00234,111,100,0,1,12,0,48,0,0,0.773618437,0,0,0,0,72.8018947,0,0.54481053,65.8,65.9
AB00237,156,167,0,4,11,0,0,0,0,0.803763087,0,0,0,0,40.31897263,0,0.999862467,78,73
AB00240,46,53,0,2,9,0,0,0,0,0.776341024,0,0,0,0,52.3846702,0,0.997251629,82.95,77.5
AB00257,105,124,0,1,10,0,1,0,0,0.791501019,0,0,0,0,64.29177111,0,0.632725387,80.5,79.5
AB00261,21,21,0,2,9,0,115,0,0,0.778737595,0,0,0,0,70.94997603,0,0.646156305,56,56.45
AB00265,42,40,0,1,5,0,5,0,0,0.739891993,0,0,0,0,61.61995888,0,0.745532184,78,75.3
AB00276,30,29,0,3,6,0,0,0,0,0.7172155,0,0,0,0,65.87053571,0,0.697767857,85.25,83.5
AB00284,106,113,2,2,18,0,0,0,0,0.790263712,0,0,0,0,52.10853715,0,0.763066424,72.3,68.9
AB00319,22,25,0,2,8,0,17,0,0,0.770284591,0,0,0,0,75.6425691,0,0.833480869,71.5,69
AB00333,37,39,0,1,2,0,8,0,0,0.785381286,0,0,0,0,75.82446452,0,0.68624498,74,73.3
AB00334,126,147,0,2,7,0,0,0,0,0.779775086,0,0,0,0,51.07516629,0,0.994883483,80,75.5
AB00336,214,223,3,2,22,0,0,0,0,0.813196195,0,0,0,0,51.81903057,0,0.961179373,65.5,61.7
AB00351,151,161,4,1,21,0,0,0,0,0.778654277,0,0,0,0,67.73349595,0,0.573058463,64,63.9
AB00354,90,103,0,5,9,0,0,0,0,0.797043449,0,0,0,0,51.77356098,0,0.995647029,79.5,75.8
AB00360,96,101,0,3,11,0,0,0,0,0.781963968,0,0,0,0,43.93686932,0,1,79,74.3
AB00362,82,97,0,1,13,0,0,0,0,0.77452129,0,0,0,0,46.21698401,0,0.999543031,79.7,75.05
AB00363,83,91,0,3,7,0,0,0,0,0.768867981,0,0,0,0,47.01733436,0,0.999807396,79.7,75.55
