vehicleplatenumber,rapid_times,deceleration_times,fatigueDriving_times,idlePreheating_times,overlongIdle_times,coastingEngineoff_times,speeding_times,changeRoad_times,safeMiles_flag,speed_stabilization,lowVisibilitySpeeding_times,crossWind_time,highWind_time,adverseweatherSpeeding_times,average_speed,againstWind_time,diseconomicSpeed_rate,safescorebyPredict,totalscorebyPredict
AD00127,279,315,1,10,15,0,0,0,0,0.7549018470000001,0,0,0,6888,48.51411957,0,0.853939417,52.380162329292816,53.41656705358785
AD00129,319,323,0,0,57,0,13,0,0,0.774156666,0,0,0,0,59.44069938,0,0.7774858090000001,72.35855716939551,70.35801174697613
AD00130,372,399,0,0,50,0,0,1,0,0.823232967,0,0,0,0,39.35628433,0,0.9416801290000001,71.2827588746314,65.03418347020394
AD00132,258,259,0,0,50,0,8,0,0,0.810207709,0,0,0,0,42.91274162,0,0.910690335,74.65468838765942,69.88175799517677
AD00133,226,246,1,0,24,0,0,0,0,0.814733212,0,0,0,0,38.92727061,0,0.99858123,71.07637140371004,65.58329340523778
AD00134,270,265,0,0,43,0,0,0,0,0.7507376509999999,0,0,0,0,59.26972176,0,0.823796467,75.39975403788449,72.70454382841245
AD00135,267,274,0,0,47,0,2,0,0,0.7567656420000001,0,0,0,0,62.22099502,0,0.737140503,74.9333727599541,73.5370952567786
AD00137,224,228,2,0,35,0,0,0,0,0.7641010540000001,0,0,0,0,55.3542042,0,0.7041666670000001,69.27318529788357,68.41311028154787
AD00138,307,339,0,19,39,0,1,0,0,0.752121112,0,0,0,0,56.71608203,0,0.7177650090000001,70.69144912620908,70.98835114994807
AD00140,427,406,0,0,57,0,38,0,0,0.731220897,0,0,0,0,55.23870878,0,0.879826612,67.3302729816813,63.84529462685564
AD00141,281,292,2,11,21,0,63,0,0,0.724566252,0,0,0,0,58.9387971,0,0.828828662,57.65691359541496,60.359886098596604
AD00144,229,247,0,0,36,0,3,0,0,0.754219344,0,0,0,0,65.43281964,0,0.761066892,75.26264096090401,73.74468623876841
AD00145,310,321,2,0,71,0,123,0,0,0.718062503,0,0,0,0,58.86168382,0,0.843327147,57.61397937352191,56.22865697896873
AD00147,231,256,0,1,53,0,5,0,0,0.737669325,0,0,0,0,55.97298828,0,0.760244403,75.1093783433664,73.87966164162866
AD00150,272,264,0,13,32,0,29,0,0,0.7353187309999999,0,0,0,0,68.77972613,0,0.786216618,69.66603227880643,70.1609261821548
AD00151,300,329,1,1,59,0,14,0,0,0.7815538809999999,0,0,0,0,58.98070086,0,0.84937499,68.36733074302191,65.90245605365635
AD00152,306,304,0,10,20,0,14,0,0,0.737509493,0,0,0,0,49.65637275,0,0.773155125,70.38009945683633,69.98806418339495
AD00156,433,448,0,0,67,0,3,0,0,0.816716453,0,0,0,0,42.39727662,0,0.916074432,70.18589024928737,63.53999190423454
AD00158,298,324,0,0,52,0,0,0,0,0.746307438,0,0,0,0,58.36337799,0,0.9122155479999999,73.78153986494104,70.03932090571062
AD00159,175,182,1,0,37,0,12,0,0,0.782695617,0,0,0,0,74.15433461,0,0.702586002,72.059158456384,71.10395736851132
AD00161,381,405,0,1,45,0,2,0,0,0.7988634790000001,0,0,0,586,55.59840826,0,0.7516398870000001,69.16372811734783,67.87678020233224
AD00162,373,373,1,0,45,0,0,0,0,0.769569335,0,0,0,462,48.07167389,0,0.844640642,67.88614984985378,64.32293749560176
AD00163,224,231,0,14,48,0,15,0,0,0.740820635,0,0,0,0,70.24915881,0,0.864563223,73.21854857047929,71.7493793483568
AD00165,359,332,0,0,59,0,0,0,0,0.7260123009999999,0,0,0,0,56.27805999,0,0.856093406,74.11321289143558,70.26140339168397
AD00166,591,625,0,0,63,0,1,0,0,0.720585809,0,0,0,0,58.1818811,0,0.7808005840000001,66.10020845947788,62.96153555951545
AD00170,420,450,1,0,28,0,0,0,0,0.8077434929999999,0,0,0,0,48.27560882,0,0.998696235,65.66258456329838,60.32369171135535
AD00171,352,370,0,16,19,0,0,0,0,0.7769382640000001,0,0,0,0,49.87102677,0,0.9269295609999999,69.40425681157467,65.74298800064176
AD00174,179,197,1,0,32,0,102,0,0,0.74417614,0,0,0,0,63.88439718,0,0.817856076,60.719024864211725,60.90741397924811
AD00175,192,201,0,0,26,0,0,0,0,0.830616942,0,0,0,0,56.07698052,0,0.893952794,76.88713742641937,72.57327941991122
AD00178,164,173,0,0,41,0,260,0,0,0.7508672590000001,0,0,0,0,56.39161001,0,0.856052998,46.74798382179278,47.72181879822683
AD00179,479,526,0,5,43,0,0,0,0,0.83759034,0,0,0,0,34.50836773,0,0.999208458,66.08901628522125,58.24715813465485
AD00182,310,380,0,12,35,0,0,0,0,0.768370887,0,0,0,0,48.98315002,0,0.963704355,69.70385963211979,65.86660359559127
AD00186,238,285,0,1,20,0,0,0,0,0.8503812829999999,0,0,0,0,38.18911491,0,0.9991543740000001,73.7112530119773,67.89327014329129
AD00189,259,244,1,1,61,0,4,0,0,0.7540669740000001,0,0,0,0,64.82826443,0,0.711983245,72.31079662682912,71.19541351233931
AD00190,230,220,0,4,26,0,0,0,0,0.84576823,0,0,0,0,39.86613821,0,0.998656905,76.01618850108784,69.58216464718946
AD00192,44,49,0,2,2,0,0,0,0,0.841859475,0,0,0,0,43.41669822,0,0.994698978,81.4327466073135,75.42634785473533
AD00193,198,231,0,2,26,0,0,0,0,0.8519917770000001,0,0,0,0,37.17932876,0,0.996963192,75.68784930457184,69.73153848243557
AD00194,214,220,2,6,18,0,27,0,0,0.8282657790000001,0,0,0,0,77.91206263,0,0.546456038,63.74486474172204,67.6681166308801
AD00204,113,112,0,2,5,0,0,0,0,0.809836421,0,0,0,0,47.70142857,0,0.9430476190000001,79.27866098810257,74.40440982465014
AD00205,127,131,0,8,19,0,0,0,0,0.809963645,0,0,0,0,42.14482676,0,0.9934043229999999,78.71301172308219,73.42396783384845
AD00207,146,139,0,1,34,0,0,0,0,0.8338477459999999,0,0,0,0,39.34934333,0,1.0,79.08462171680293,73.03419293027056
AD00208,116,113,0,6,17,0,0,0,0,0.829088389,0,0,0,0,35.89845225,0,0.99861583,79.40728926339582,73.67234359120582
AD00209,258,262,0,9,16,0,0,0,0,0.844923712,0,0,0,0,32.29707754,0,0.998944006,73.92868127993127,67.35766570375642
AD00213,9,9,0,1,3,0,22,0,0,0.8210175479999999,0,0,0,0,86.14803876,0,0.8188278729999999,79.81859008143812,72.77428175423094
AD00223,169,182,0,4,18,0,51,0,0,0.77135071,0,0,0,0,61.3584519,0,0.7919502009999999,69.74702586135017,69.3300127725134
AD00224,145,146,0,7,22,0,0,0,0,0.7527607479999999,0,0,0,0,62.533240500000005,0,0.739912307,78.15721781039417,76.74269271434349
AD00225,70,68,0,0,14,0,0,0,0,0.799499493,0,0,0,0,41.01099285,0,0.9848194029999999,80.9541569484036,75.76729878946156
AD00233,176,200,0,4,10,0,0,0,0,0.7994422259999999,0,0,0,0,40.91780741,0,0.999733909,76.20758566892226,71.18526505339872
AD00236,31,29,0,1,7,0,0,0,0,0.8224684590000001,0,0,0,0,51.24090506,0,0.834405501,82.12786093133957,77.6079755348947
AD00245,23,23,0,10,6,0,0,0,0,0.700254315,0,0,0,0,65.37560976,0,0.672473868,81.85101282050292,80.42225289417502
AD00246,49,58,0,1,6,0,0,0,0,0.8170873000000001,0,0,0,0,48.13430127,0,0.977676951,81.14668999709266,75.64719777757148
AD00247,19,17,0,2,0,0,0,0,0,0.76730334,0,0,0,0,61.96321839,0,0.7477011490000001,82.22720872695795,78.32220957033475
AD00248,178,196,0,0,8,0,0,0,0,0.8748062940000001,0,0,0,0,22.34310696,0,1.0,76.63703439392808,70.08636440899062
AD00250,436,457,3,2,27,0,0,0,0,0.808469288,0,0,0,0,39.94490262,0,0.972111963,61.524236790331464,56.174098380627
AD00252,104,147,0,7,15,0,0,0,0,0.7997098109999999,0,0,0,0,49.09170279,0,0.9020351640000001,78.04795813732946,74.6805897071206
AD00254,255,267,3,0,26,0,0,0,0,0.775470087,0,0,0,0,54.72703524,0,0.7286879559999999,65.90321630657212,65.08011187666692
AD00256,107,128,0,3,17,0,0,1,0,0.827499945,0,0,0,0,34.26958618,0,0.99379492,78.98014680789083,73.62808747372125
AD00259,155,162,1,8,6,0,0,0,0,0.843668693,0,0,0,0,41.23751114,0,0.999965737,72.16495376454802,67.2922558481647
AD00267,244,237,2,10,22,0,10,0,0,0.83199917,0,0,0,0,78.27133038,0,0.663690946,64.7731480204569,68.06831062720435
AD00277,50,50,0,0,4,0,0,0,0,0.802860839,0,0,0,0,46.01095557,0,0.988131467,81.36061050339266,75.82932068765199
AD00283,316,327,1,6,19,0,0,0,0,0.798313484,0,0,0,0,37.06458276,0,0.989524271,67.60767511181459,62.50616842282392
AD00285,214,215,0,10,10,0,0,0,0,0.8066324890000001,0,0,0,0,40.28119309,0,0.9903561940000001,75.41685867605509,70.0229879540683
AD00287,233,265,0,4,16,0,1,0,0,0.80494693,0,0,0,0,53.21828695,0,0.802041923,73.92994432295669,72.02611003968856
AD00289,399,448,1,7,18,0,0,0,0,0.794390165,0,0,0,0,41.5908482,0,0.9908753809999999,63.61160470807794,59.31099948672701
AD00290,36,35,0,4,3,0,361,0,0,0.751481328,0,0,0,0,51.69118844,0,0.9636752140000001,37.169505604715326,37.09412970865976
AD00291,81,112,0,2,9,0,1,0,0,0.8075034240000001,0,0,0,0,53.07705856,0,0.7720324590000001,79.19332581367976,76.46030063540626
AD00292,289,295,4,9,21,0,501,0,0,0.8015093870000001,0,0,0,0,69.84066952,0,0.711437366,29.728414375356465,38.707285628678655
AD00294,116,127,0,5,13,0,0,0,0,0.803289829,0,0,0,0,45.08541645,0,0.990745665,78.80046008105973,73.75702801181026
AD00297,60,87,0,0,11,0,0,0,0,0.841649658,0,0,0,0,33.454794,0,0.97456765,80.3556799676656,75.11883708529953
AD00298,58,82,0,1,10,0,0,0,0,0.8315283929999999,0,0,0,0,53.61240768,0,0.928626292,80.45381327918527,75.38234727127066
AD00302,245,240,2,5,15,0,0,0,0,0.816010408,0,0,0,0,50.66857349,0,0.920887846,66.76397528531564,64.07253025687903
AD00304,212,211,1,10,21,0,0,0,0,0.836547137,0,0,0,0,42.89668215,0,0.999603073,70.75785827861534,65.72454307036367
AD00307,226,233,0,5,39,0,0,0,0,0.865598967,0,0,0,0,27.93148223,0,0.999926641,75.80695320702574,68.61484585588126
AD00309,186,185,2,5,29,0,19,0,0,0.796622156,0,0,0,0,70.94171678,0,0.590936819,66.58404785264626,68.7678974074909
AD00310,229,272,1,2,13,0,0,0,0,0.796493308,0,0,0,0,51.36334731,0,0.8353853790000001,69.50387007726651,67.93647126223445
AD00314,35,38,1,5,6,0,2,0,0,0.807045679,0,0,0,0,72.11147674,0,0.554751177,76.37783810287027,74.61720939295031
AD00315,160,184,0,10,14,0,7,0,0,0.816672287,0,0,0,0,63.82767949,0,0.595276741,75.61386407778834,76.00529626676611
AD00320,96,93,0,10,10,0,458,0,0,0.766237939,0,0,0,0,77.23121482,0,0.7306584629999999,28.821217035141593,31.613104199548648
AD00327,74,78,0,1,14,0,0,0,0,0.773546087,0,0,0,0,37.96915124,0,1.0,80.53655773499479,75.74279623586008
AD00328,61,73,1,2,6,0,0,0,0,0.7536558259999999,0,0,0,0,64.81595134,0,0.763600328,75.70447328660038,73.3690852937748
AD00331,104,116,0,0,9,0,0,0,0,0.8379271070000001,0,0,0,0,28.28745695,0,0.9885906999999999,79.34544921452104,73.79109424480244
AD00332,25,21,0,1,6,0,40,0,0,0.751819083,0,0,0,0,60.77101713,0,0.8470420340000001,76.858721208612,73.25052619218278
AD00338,47,55,0,1,7,0,0,0,0,0.769554231,0,0,0,0,45.37382267,0,0.994586987,81.14078379186884,76.28077212418489
AD00340,165,165,0,8,25,0,0,0,0,0.8189257459999999,0,0,0,0,38.58753142,0,1.0,77.65439365829255,71.88545934391527
AD00344,290,273,2,1,37,0,101,0,0,0.794935011,0,0,0,0,73.13605537,0,0.6708068779999999,57.58189023820406,60.349284387488176
AD00347,59,58,0,1,3,0,0,0,0,0.777089294,0,0,0,0,46.36454344,0,0.937915743,80.99294914080414,76.44478722912719
AD00349,421,465,0,7,29,0,0,0,0,0.80058027,0,0,0,0,53.68045901,0,0.774922763,67.29954400059795,66.39575514944144
AD00350,184,197,2,5,14,0,0,0,0,0.7931672040000001,0,0,0,0,57.21942369,0,0.69144132,67.85499712247065,68.61748644633263
AD00355,139,149,0,5,13,0,3,0,0,0.7740659040000001,0,0,0,0,70.42392068,0,0.615905805,77.56204222330521,76.69786908031556
AD00357,71,69,0,4,9,0,0,0,0,0.803651725,0,0,0,0,36.53509593,0,0.930978007,80.7386571697144,76.35173324275468
AD00359,137,136,1,5,11,0,2,0,0,0.831015431,0,0,0,0,50.51792651,0,0.918737754,73.23299752711468,69.54054752189732
AD00361,78,79,0,2,20,0,131,0,0,0.801825427,0,0,0,0,79.28895383,0,0.653185272,62.068582515397054,61.2210184662448
AD00366,293,306,4,5,8,0,0,0,0,0.8087251809999999,0,0,0,0,51.071648100000004,0,0.8736645259999999,61.294603434258285,60.564408532368006
AD00368,135,142,0,3,19,0,0,0,0,0.806418326,0,0,0,0,41.08271293,0,0.948500785,78.49682240848006,73.8758484553688
AD00369,81,80,0,9,6,0,367,0,0,0.744689816,0,0,0,0,77.67320542,0,0.901801415,34.97944540048839,38.18295509321991
AD00376,213,231,0,10,29,0,0,0,0,0.8024891540000001,0,0,0,0,38.44207441,0,0.96857959,75.23572423681536,70.14991750836569
AD00384,478,456,3,8,31,0,0,0,0,0.808922308,0,0,0,0,36.94146106,0,1.0,60.40444869058618,54.31751148569708
AD00387,66,63,1,5,8,0,2,0,0,0.8007845309999999,0,0,0,0,70.86715459999999,0,0.517946661,75.59973119536417,74.76281967030936
AD00391,229,251,2,9,10,0,0,0,0,0.845931282,0,0,0,0,41.04315437,0,0.9829422790000001,65.04380276551096,61.63427579920043
AD00392,176,183,1,4,5,0,0,0,0,0.7931511809999999,0,0,0,0,55.87683944,0,0.7300356170000001,71.91811495183997,71.22808464287127
AD00396,24,28,0,0,4,0,6,0,0,0.89271279,0,0,0,0,76.75895433,0,0.226622596,81.5564339906646,76.980684055608
AD00397,364,359,0,3,19,0,0,0,0,0.810835757,0,0,0,0,41.17925606,0,0.9939636190000001,71.214475959374,65.07847684215172
AD00400,48,44,0,4,2,0,23,0,0,0.7393619359999999,0,0,0,17,64.86215253,0,0.7750534570000001,78.13519610649877,75.35437334493041
AD00403,255,264,3,3,32,0,10,1,0,0.7550925470000001,0,0,0,0,69.3767122,0,0.671838402,64.67811451956004,66.17041002784711
AD00410,29,36,0,3,7,0,0,0,0,0.791668348,0,0,0,0,54.15579392,0,0.846843679,81.78244300613169,77.76873616268308
AD00412,67,76,0,2,7,0,3,0,0,0.778907968,0,0,0,2921,77.78257364,0,0.697244225,72.65867738917038,70.79491531235857
AD00415,80,90,0,3,22,0,0,0,0,0.8337808409999999,0,0,0,0,45.86477097,0,0.996632637,80.3678192284106,74.7336461646742
AD00416,122,130,0,8,9,0,0,0,0,0.829642917,0,0,0,0,42.81696758,0,0.9995340709999999,78.61440016089539,73.00027534507326
AD00417,143,182,1,8,10,0,0,0,0,0.794550128,0,0,0,0,55.54554375,0,0.7364938740000001,71.51098026080066,71.59296759708293
AD00418,185,181,0,2,6,0,0,0,0,0.8420009190000001,0,0,0,0,31.8768793,0,1.0,76.99167080354728,70.83679973129837
AD00419,185,199,2,11,14,0,0,0,0,0.833493389,0,0,0,0,46.90008177,0,0.97626362,66.47885668065301,63.57276629500953
AD00423,279,306,0,1,16,0,0,0,0,0.833114241,0,0,0,0,44.72876157,0,0.987452132,72.95490362075019,67.5125161155307
AD00427,342,374,3,2,11,0,0,0,0,0.801235593,0,0,0,0,39.95731187,0,0.99749214,62.07165579109623,57.65295773839829
AD00429,134,156,0,4,19,0,0,0,0,0.815865205,0,0,0,0,46.21961629,0,0.9793791070000001,77.97354869444992,73.00904480345356
AD00431,259,263,1,14,16,0,0,0,0,0.79222473,0,0,0,0,55.43531799,0,0.717006147,68.4118713143803,69.43788414563791
AD00432,213,228,0,2,8,0,0,0,0,0.7946374390000001,0,0,0,0,41.18089373,0,0.974830254,75.33446588539647,70.54387539663567
